board_name,source_image,md5,grid
img1,img1.png,3e97c306853ef20f4c4af5536f8ffa3c,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 8, 0, 0, 25, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 7, 0, 23, 0, 12, 20, 0, 0], [0, 0, 0, 0, 0, 0, 0, 6, 3, 21, 11, 19, 22, 0, 0], [0, 0, 0, 0, 0, 0, 4, 2, 5, 15, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 17, 13, 0, 18, 0, 0, 0], [0, 0, 0, 0, 0, 0, 9, 0, 24, 16, 14, 0, 0, 0, 0], [0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (1),下载 (1).png,f1d2ec351b55010d43fdd0d0ea5015e3,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 14, 8, 7, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 16, 13, 18, 4, 2, 5, 0, 0, 0], [0, 0, 0, 0, 0, 0, 12, 17, 11, 1, 9, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 15, 20, 25, 10, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 17, 22, 19, 21, 3, 0, 0, 0, 0, 0], [0, 0, 0, 0, 35, 36, 31, 33, 23, 34, 27, 0, 0, 0, 0], [0, 0, 0, 0, 0, 32, 0, 29, 26, 24, 0, 28, 0, 0, 0], [0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (10),下载 (10).png,86897ed3516e0a8f6eb8b36f0f829a91,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 7, 1, 2, 6, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 38, 35, 8, 11, 13, 16, 0, 0, 0], [0, 0, 0, 0, 0, 39, 29, 22, 23, 10, 14, 12, 15, 0, 0], [0, 0, 0, 0, 41, 21, 0, 24, 3, 5, 18, 17, 0, 0, 0], [0, 0, 0, 0, 0, 0, 40, 0, 26, 19, 20, 0, 0, 0, 0], [0, 0, 0, 0, 0, 34, 0, 25, 31, 27, 32, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 30, 28, 33, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (100),下载 (100).png,8573d31535e4ba4b49005eefe0f51545,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 25, 0, 24, 16, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 17, 19, 0, 21, 22, 15, 0, 18, 0], [0, 0, 0, 0, 0, 0, 0, 10, 0, 7, 5, 0, 0, 0, 0], [0, 0, 0, 0, 0, 20, 0, 9, 6, 0, 2, 11, 0, 0, 0], [0, 0, 0, 0, 0, 0, 13, 0, 0, 8, 0, 0, 12, 0, 0], [0, 0, 0, 0, 14, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (12),下载 (12).png,ec49b318e32769d15614d2555681982a,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 8, 7, 0, 3, 10, 0, 0, 0, 0], [0, 0, 0, 0, 0, 15, 0, 2, 4, 5, 0, 0, 0, 0, 0], [0, 0, 0, 25, 24, 14, 16, 0, 1, 9, 6, 0, 32, 31, 0], [0, 0, 0, 0, 0, 23, 13, 0, 12, 0, 29, 21, 34, 33, 0], [0, 0, 0, 0, 22, 0, 0, 11, 27, 19, 0, 28, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 17, 0, 20, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 26, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (13),下载 (13).png,fd9755f7da7c47cf9abe55b3613dc854,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 10, 0, 20, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 8, 11, 9, 0, 18, 0, 0, 0, 0, 0], [0, 0, 0, 0, 16, 15, 7, 2, 3, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 19, 14, 6, 1, 4, 27, 0, 0, 0, 0, 0], [0, 0, 0, 22, 21, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 26, 23, 25, 0, 5, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (14),下载 (14).png,889ddd0c8eaf9980e979f767562d91d0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 19, 24, 23, 21, 0, 0, 25, 0, 0], [0, 50, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 28, 0], [0, 52, 51, 0, 33, 41, 0, 2, 8, 3, 22, 16, 27, 0, 0], [0, 0, 0, 44, 36, 34, 45, 1, 9, 6, 15, 0, 0, 0, 0], [0, 0, 0, 0, 48, 5, 10, 4, 31, 11, 17, 0, 0, 0, 0], [0, 0, 0, 35, 40, 14, 7, 13, 30, 29, 0, 0, 18, 0, 0], [0, 0, 0, 39, 0, 49, 37, 12, 0, 0, 0, 32, 0, 0, 0], [0, 0, 0, 0, 0, 38, 42, 46, 47, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (15),下载 (15).png,fafbdc6ac93a1954d79113b0c9e897f4,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 20, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 22, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 9, 0, 21, 0], [0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 8, 12, 14, 15, 16], [0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 7, 13, 27, 0, 0], [0, 0, 0, 0, 0, 0, 18, 17, 11, 0, 0, 26, 23, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 32, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 33, 31, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (16),下载 (16).png,9a3a01cdce62ebaa6d42a442ebf6879b,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 25, 20, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 24, 21, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 23, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 6, 3, 0, 0, 22, 0, 0], [0, 0, 0, 0, 0, 0, 0, 15, 4, 8, 11, 19, 0, 0, 0], [0, 0, 0, 0, 0, 0, 14, 13, 7, 5, 9, 10, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 16, 0, 12, 17, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (18),下载 (18).png,bd159bbaa5a1b11737f3b41bc55484b2,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 48, 35, 0, 0, 0, 40, 0, 0, 0], [0, 52, 51, 45, 47, 49, 50, 19, 12, 42, 0, 39, 0, 0, 0], [0, 0, 34, 33, 0, 0, 11, 10, 43, 8, 37, 29, 41, 0, 44], [0, 0, 0, 46, 70, 20, 15, 28, 23, 27, 21, 0, 32, 0, 0], [0, 0, 0, 0, 17, 69, 16, 2, 4, 5, 38, 0, 0, 0, 0], [0, 0, 0, 0, 14, 13, 9, 1, 30, 6, 25, 24, 0, 0, 0], [0, 0, 0, 0, 0, 63, 18, 0, 62, 26, 0, 7, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3, 67, 0, 22, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 68, 65, 58, 55, 71, 0, 31, 0, 0, 0], [0, 0, 0, 0, 0, 59, 64, 57, 0, 53, 54, 0, 0, 0, 0], [0, 0, 0, 0, 61, 0, 60, 0, 56, 0, 0, 0, 0, 0, 0], [0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (17),下载 (17).png,b6b6b6df990524222056c415ad18c35f,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 39, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 13, 0, 0, 44], [0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 40, 41, 0, 0, 0], [0, 0, 0, 0, 0, 0, 15, 0, 8, 46, 29, 37, 38, 35, 0], [0, 0, 0, 0, 0, 0, 0, 12, 11, 0, 2, 43, 3, 36, 0], [0, 0, 0, 0, 0, 0, 0, 16, 14, 4, 0, 9, 33, 27, 0], [0, 0, 0, 0, 0, 0, 0, 17, 5, 6, 10, 25, 24, 18, 30], [0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 28], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 23, 31], [0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 19, 21, 22, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (19),下载 (19).png,b012d5da63388e574516e2cb1def2fc0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 10, 2, 0, 5, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 15, 1, 3, 4, 0, 0, 0, 21], [0, 0, 0, 0, 0, 0, 0, 12, 13, 8, 6, 18, 20, 0, 0], [0, 0, 0, 0, 0, 0, 36, 27, 35, 29, 9, 16, 7, 19, 0], [0, 0, 0, 0, 0, 44, 0, 39, 37, 22, 25, 14, 23, 0, 0], [0, 0, 0, 0, 42, 33, 28, 32, 24, 0, 17, 0, 0, 0, 0], [0, 0, 0, 41, 38, 40, 0, 34, 0, 26, 0, 0, 0, 0, 0], [0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (2),下载 (2).png,25733630585f91402cdacf6d91363542,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 14, 10, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 6, 12, 2, 5, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7, 8, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 15, 11, 17, 13, 19, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (21),下载 (21).png,afa2cecd4da34ba507414bfdf1a1a74b,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 39, 34, 41, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 27, 26, 24, 36, 29, 0, 0, 0, 0], [0, 0, 0, 0, 0, 33, 32, 20, 21, 28, 0, 0, 0, 0, 0], [0, 0, 0, 0, 38, 22, 31, 23, 18, 37, 0, 0, 0, 0, 0], [0, 0, 0, 25, 0, 30, 3, 6, 19, 40, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0, 5, 10, 42, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 4, 15, 8, 11, 0, 0, 0, 0, 0], [0, 0, 0, 0, 7, 0, 12, 9, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 14, 0, 16, 17, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
下载 (20),下载 (20).png,8265730cbc6130ed0e6816ae98cad98d,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0], [0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 26, 0, 23, 0, 0, 0, 12, 0, 0, 0], [0, 0, 0, 0, 0, 0, 25, 24, 22, 30, 11, 29, 19, 31, 32], [0, 0, 0, 0, 0, 28, 0, 15, 14, 9, 0, 0, 0, 18, 17], [0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 5, 16, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 8, 6, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 3, 21, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
